rname,alias,mascot,sname
Boston College,BC,Eagles,Boston College
Georgia Tech,GT,Yellow Jackets,Georgia Tech
George Washington,GW,Colonials,George Washington
Kansas,KU,Jayhawks,Kansas
Maryland,MD,Terrapins,Maryland
Notre Dame,ND,Fighting Irish,Notre Dame
Kentucky,UK,Wildcats,Kentucky
Alabama,ALA,Crimson Tide,Alabama
Arkansas,ARK,Razorbacks,Arkansas
Auburn,AUB,Tigers,Auburn
Baylor,BAY,Bears,Baylor
Butler,BUT,Bulldogs,Butler
California,CAL,Golden Bears,University of California
Cincinnati,CIN,Bearcats,Cincinnati
Cornell,COR,Big Red,Cornell
Dayton,DAY,Flyers,Dayton
DePaul,DEP,Blue Demons,DePaul
Eastern Mich.,EMU,Eagles,Eastern Michigan
Florida,FLA,Gators,Florida
Florida St.,FSU,Seminoles,Florida State
George Mason,GMU,Patriots,George Mason
Illinois,ILL,Fighting Illini,Illinois
Indiana,IND,Hoosiers,Indiana
Iowa St.,ISU,Cyclones,Iowa State
James Madison,JMU,Dukes,James Madison
Kansas St.,KSU,Wildcats,Kansas State
La Salle,LAS,Explorers,La Salle
Louisville,LOU,Cardinals,Louisville
LSU,LSU,Tigers,Louisiana State
Memphis,MEM,Tigers,Memphis
Miami (FL),MIA,Hurricanes,Miami (FL)
Mt. St. Mary's,MSM,Mountaineers,Mount St. Mary's
Michigan St.,MSU,Spartans,Michigan State
Old Dominion,ODU,Monarchs,Old Dominion
Ohio St.,OSU,Buckeyes,Ohio State
Pacific,PAC,Tigers,Pacific
Penn St.,PSU,Nittany Lions,Penn State
Purdue,PUR,Boilermakers,Purdue
SFA,SFA,Lumberjacks,Stephen F. Austin
Siena,SIE,Saints,Siena
Southern Ill.,SIU,Salukis,Southern Illinois
St. John's (NY),SJU,Red Storm,St. John's (NY)
Saint Louis,SLU,Billikens,Saint Louis
SMU,SMU,Mustangs,Southern Methodist
Syracuse,SYR,Orange,Syracuse
TCU,TCU,Horned Frogs,Texas Christian
Temple,TEM,Owls,Temple
Texas,TEX,Longhorns,Texas
Texas Tech,TTU,Red Raiders,Texas Tech
Georgia,UGA,Bulldogs,Georgia
North Carolina,UNC,Tar Heels,North Carolina
UNI,UNI,Panthers,Northern Iowa
New Mexico,UNM,Lobos,New Mexico
Rhode Island,URI,Rams,Rhode Island
Southern California,USC,Trojans,Southern California
Utah St.,USU,Aggies,Utah State
Virginia,UVA,Cavaliers,Virginia
Vanderbilt,VAN,Commodores,Vanderbilt
Wisconsin,WIS,Badgers,Wisconsin
Western Ky.,WKU,Hilltoppers,Western Kentucky
Washington St.,WSU,Cougars,Washington State
West Virginia,WVU,Mountaineers,West Virginia
Xavier,XAV,Musketeers,Xavier
Charlotte,CHAR,49ers,Charlotte
Clemson,CLEM,Tigers,Clemson
Cleveland St.,CLEV,Vikings,Cleveland State
Colorado,COLO,Buffaloes,Colorado
UConn,CONN,Huskies,Connecticut
Coppin St.,COPP,Eagles,Coppin State
Duke,DUKE,Blue Devils,Duke
FGCU,FGCU,Eagles,Florida Gulf Coast
Gonzaga,GONZ,Bulldogs,Gonzaga
Georgetown,GTWN,Hoyas,Georgetown
Seton Hall,HALL,Pirates,Seton Hall
Harvard,HARV,Crimson,Harvard
Iowa,IOWA,Hawkeyes,Iowa
Saint Joseph's,JOES,Hawks,Saint Joseph's
Loyola Chicago,L-IL,Ramblers,Loyola (IL)
Marquette,MARQ,Golden Eagles,Marquette
Massachusetts,MASS,Minutemen,Massachusetts
Michigan,MICH,Wolverines,Michigan
Minnesota,MINN,Golden Gophers,Minnesota
Missouri,MIZZ,Tigers,Missouri
Missouri St.,MOSU,Bears,Missouri State
Mississippi St.,MSST,Bulldogs,Mississippi State
Navy,NAVY,Midshipmen,Navy
NC State,NCST,Wolfpack,North Carolina State
New Mexico St.,NMSU,Aggies,New Mexico State
Northwestern St.,NWST,Demons,Northwestern State
Oklahoma,OKLA,Sooners,Oklahoma
Oklahoma St.,OKST,Cowboys,Oklahoma State
Penn,PENN,Quakers,Pennsylvania
Pepperdine,PEPP,Waves,Pepperdine
Pittsburgh,PITT,Panthers,Pittsburgh
Princeton,PRIN,Tigers,Princeton
Providence,PROV,Friars,Providence
Richmond,RICH,Spiders,Richmond
South Carolina,SCAR,Gamecocks,South Carolina
Stanford,STAN,Cardinal,Stanford
Tennessee,TENN,Volunteers,Tennessee
Tulsa,TLSA,Golden Hurricane,Tulsa
Texas A&M,TXAM,Aggies,Texas A&M
UCLA,UCLA,Bruins,UCL
UTSA,UTSA,Roadrunners,Texas-San Antonio
Villanova,VILL,Wildcats,Villanova
Wake Forest,WAKE,Demon Deacons,Wake Forest
Washington,WASH,Huskies,Washington
Northwestern,NW,Wildcats,Northwestern
Virginia Tech,VT,Hokies,Virginia Tech
Arizona St.,ASU,Sun Devils,Arizona State
BYU,BYU,Cougars,Brigham Young
Davidson,DAV,Wildcats,Davidson
Middle Tenn.,MTU,Blue Raiders,Middle Tennessee
Nevada,NEV,Wolf Pack,Nevada
Oregon,ORE,Ducks,Oregon
Robert Morris,RMU,Colonials,Robert Morris
Saint Mary's (CA),SMC,Gaels,Saint Mary's (CA)
UAB,UAB,Blazers,Alabama-Birmingham
Louisiana,ULL,Ragin' Cajuns,Louisiana
New Orleans,UNO,Privateers,New Orleans
South Fla.,USF,Bulls,South Florida
Vermont,UVM,Catamounts,Vermont
VCU,VCU,Rams,Virginia Commonwealth
Albany (NY),ALBY,Great Danes,Albany (NY)
Arizona,ARIZ,Wildcats,Arizona
Ark.-Pine Bluff,ARPB,Golden Lions,Arkansas-Pine Bluff
Bradley,BRAD,Braves,Bradley
Bucknell,BUCK,Bison,Bucknell
Chattanooga,CHAT,Mocs,Chattanooga
Col. of Charleston,COFC,Cougars,College of Charleston
Creighton,CREI,Bluejays,Creighton
Evansville,EVAN,Aces,Evansville
